index,comment_text,toxic
0,"&amp; ion have a bitch. So yeah. What's understood don't need to be explained.",1
1,".@SarahPalinUSA Wow, ""impeachment."" Look at you using your Vocab Workshop words. Guess we were only half wrong about you being a dumb cunt.",0
2,"' She love it when I talk to her crazy &#1041191;&#1041219; Suck a niggah dick , with a whole lotta spit &#1043291; let it drip &#1043292; Yea catch... http://t.co/i3WOHNQo7S",1
3,"*scrolling through fb* some hoe says ""need a man 2 cuddle in the cold with"" bitch nobody wanna touch your #ratchet ass!",1
4,"@A_Little_Wicked that's not ghetto. That's sweet and a movie quote. Try again",0
5,"' No FEELINS for a hoe that ain't ma main thang , ma niggahs on the same thang &#1043359; all ma niggahs gangbang ,... http://t.co/pc0fcynoFU",1
6,"93 feature car

1 of 1503 yellow and black feature car. buck tag is on the radiator support. 67,3xx miles,... http://t.co/1nkNfZqBo9",0
7,"' Broke Tf outta this niggah at 24 &#1041204;&#1041204;&#1041204; He stopped playen defense and all",1
8,"@AleeeD_ bitch who do u love",1
9,".@everSoTweetly4u Klain's real (sole) job is to dampen down the mushrooming bad PR and political fallout heading into Nov election.",0
10,"@0hallis0n bitch caught a body about a week ago. Everybody catching bullet holes.",1
11,"@ACMobbDeep @madsbennett yeah I run over squirrels and coons",0
12,"&lt;&lt;&lt;&lt;&lt;&lt;when bitches be doing too much on twitter",1
13,"@Alan_Casillas haha shit niggah i wish",1
14,"@Alejandro_Bihhh @CapoDaAssHole so y'all niggaz ain't never listen to no slow shit with a bitch",1
15,"@22duces20 haha still a little bitch though &#128517;",1
16,"@1stBlock_Rody yu ah hoe",1
17,"13% shy
65% bitch
22% homosexual",1
18,"108 MIL RT @SooMajor: And its cause of Romo bitch ass Dez &amp; Witten not eating",1
19,"' Annnie say fuck that niggah , he soo weak ! &#1041204; He can't tell that you a freak &#1041196; That you ain't lookin for love .... http://t.co/62URiSgiQ1",1
20,"' Y'all like sayin money don't buy happiness , but name a niggah sitting in a Lambo crying ?",1
21,"1X - The yellow tower by Gilbert Claes http://t.co/qc5IF6G4fG",0
22,"@AdamBaldwin Really?? Bro, that retard @SenTedCruz even missed the point of GreenEggs&amp;Ham! It means don't knock it til ya try it!",1
23,"@AirSimba9 I don't be on the hoes but these hoes on my snapchat",1
24,".@Straatvogels [street birds]: Homeless People Twittering in Amsterdam http://t.co/WruoCdVkJt via @HuffPostImpact
&#8853;http://t.co/DJgs6rGdfV",0
25,"@1D_NIPPLES_ bitch you fucking told me to sit in that seat and yo dumbass come again saying ""why you sitting there"" bitch #vote5sos",1
26,",@musclezauber why not animal crackers. i want animal crackers shaped like master chiefs and trolls and gun's and shit, thatd rule.",0
27,"' Mannnnn wake y'all bitch asses up Blood !",1
