index,comment_text,toxic
0,"@1000gramsBee bitch",1
1,"' I wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful Yall really is .",1
2,":) ""@PeterDavidsonII: At some point, we need to discuss how delicious the vegan brownie from @busboysandpoets on u St. tastes!""",0
3,"' Have you ever had sex ina cherry red vet witha fat trap Niggah keep that pussy sooo wet &#1043359;&#1043291;&#1041185; .",1
4,":/ well that sucks that Kobe is out now... he's still filthy, you can hate him all u want but if you dont have respect for him, ur retarded",1
5,"@0hallis0n bitch caught a body about a week ago. Everybody catching bullet holes.",1
6,"1 time for the lonely hoes watching #Scandal re runs",1
7,"@2LEGIT4that go be cunt somewhere else",0
8,"2 beer queer",0
9,"1300 for the eggs sunny side nicca .. @EastsideDame",0
10,"@ASourAppleTree Have heard hillbilly grousings that bugs much worse in the KV since MIC shut down.",0
11,"@1SonofYahweh..they cry over lost pussy, more emotional than a sissy. They get out &amp; front on hoes simple minds &amp; point brothas like me out",1
12,"5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw &#128514;&#128514;&#128514;",1
13,"' All jokes aside , I'm goin thru it a niggah heart hurt smh . &#1043214; .",1
14,"&amp; fuck your bitch",1
15,"95% of the truly talented people i've come across are retarded professionally. 95% of the awful, untalented people are on point and polite..",0
