index,comment_text,toxic
0,"""@lildurk_: I can turn yo bitch into a eaterrrrrrrrr""",1
1,"!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;",1
2,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",1
3,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",1
4,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook",0
5,"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real",1
6,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",1
7,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",0
8,"""@TweetGameLazy: I can ride your bitch with no handle bars""",1
9,"""@Samirahusic_: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",1
10,""" momma said no pussy cats inside my doghouse """,0
11,"""@iDntWearCondoms: Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that",1
12,"""@Taylorr_Babee: You ain't ever gonna be a slice bitch."" Kevin hart. (:",1
13,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0
14,""" bitch get up off me """,1
15,"""@TreLeKidd: Yo bitch is Gucci Mane RT @JabariTheGreat : My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",1
16,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",1
17,"""@TheGamerKingKev: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",1
18,""" it aint nothing to cut a bitch off """,1
19,"""@ozzie_garza: @white_thunduh I'm about to cool faggot chill"" tf is cool nigga",1
20,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",0
21,"""@fIirting: HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC"" no bitches smh",1
22,"""@alejandra_p13: These bitches love Sosa""",1
23,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""",0
24,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",0
25,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1
26,""" post a picture of that pussy get 200 likes """,1
27,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",0
28,"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",1
29,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",1
30,"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",1
31,""" cancel that bitch like Nino """,1
32,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",1
33,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",1
34,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1
35,"""@midyWIDEY_: I'm rea start smacking bitches period !"" Bluffin at its best",1
36,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",1
37,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",1
38,"""@UnHoly_Jack: These harbor bitches are all ""Party Bus hoes"""" Lol all?",1
39,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",1
40,"""@allisonnamaya_: What should I name my cat, ideas?"" Mr pussy",1
41,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",1
42,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*",1
43,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",1
44,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",1
45,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",1
46,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",1
47,"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG""

Thotermelon",1
48,"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!",1
49,"""@hazelebaby: Karma is a bitch #Damn #GodProtectsHisAngels &#128588;""

*sips tea*",1
50,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd""",0
51,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",1
52,"""@XoXo__Angiee: Bruno fag boy"" you love me.",1
53,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",1
54,"""@savage_twotone: Next year bitches is gonna be like you gotta promise you won't expose me &#128514;&#128514;&#128557;""",1
55,"""@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",1
56,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao",0
57,""" So hoes that smoke are losers ? "" yea ... go on IG",1
58,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",1
59,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven",0
60,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",0
61,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn",0
62,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",1
63,""" broke bitch cant tell me nothing """,1
