index,comment_text,toxic
0,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",1
1,""" her pussy lips like Heaven doors "" &#128524;",1
2,"""@Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;""""",1
3,"""@Queen_Kaaat: It took a while for you to find me, but I was hiding In the lime tree.""
@Iemonaids dis bitch in da wrong tree bro.",1
4,"""@ortiz_jaylene: All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)",1
5,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",1
6,"""@jacaxeltlu: Eventually every bitch turns into that hoe."" # Truuu",1
7,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",1
8,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""",1
9,"!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;",1
10,"""@jaimescudi_: ""@Tonybthrz_: ""@jaimescudi_: I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy",1
11,""" cant you see these hoes wont change """,1
12,""" pimps up pimps up hoes down "" Future voice",1
13,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",1
14,"""@hornyjhb: Fuckin hot gym pussy http://t.co/ZVYmcXQuTA"" fuck yeah",1
15,"""@__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here",1
16,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",0
17,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",1
18,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",1
19,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",1
20,""" bitch nigga miss me with it """,1
21,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1
22,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",1
23,"""@ronald_iongi: Ummmmmm okay http://t.co/4BVLsci5K5"" you got hoes from left to right &#128514;&#128514; do yah thang!",1
24,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",1
25,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",0
26,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",1
27,"""@fuckcamoclark: Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892",1
28,"""@Shun_stokes: &#128514;&#128514;&#128514;&#128514;RT @bluprint_4: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &#128557;&#128557;&#128557;",1
29,"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",0
30,"""@ozzie_garza: @white_thunduh I'm so sure bitch"" frfr tf",1
31,"""@_iwantfranny: He's a hoe , I can't""",1
32,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",0
33,"""@jSadass: loud bitches annoy me""",1
34,"""@rugbysocklad: Helping out a mate!! http://t.co/eMNAdO1QOj"" I love scally play. Fuck yeah",1
35,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",1
36,"""@kikiSTFU: I'll break that lil bitch neck and won't even feel sorry about it"" Savage",1
37,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",1
38,"""@socass_: ""@00sexilexi00: @socass_ yasss""

*trys new things with bestfriend*""

*bitch who do you love*",1
39,"""@cheetahBluntz_: Its me hoe, its me hoe&#128129;"" shhhhh",1
40,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",1
41,"""@djsliime: That long distance shit wack I knew the bitch was cheating""- uh oh",1
42,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1
43,"""@SmeegBaby: Dese hoes be LYIN to all of us nigga""",1
44,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",1
45,"""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg""",0
