index,comment_text,toxic
0,"22 talented drivers RT @garrisonstudio: I am really glad there haven't been any yellows. But why haven't there been any yellows??",0
1,"@AbstractLife yeah. can't lie tho spitting on a cop car right with their bitch ass in it feels damn good.",1
2,"12 oz arizona's trash",1
3,".@AlyssSmithh @KeveeeD Yes indeed! Camels, ostriches and zebras! Sept. 5-7 http://t.co/X3Oapfm3e8 #VCCamelRaces",0
4,"@AdamHarmon @JeffJeffAllen Yeah tht a bitch, we ain't gay Brah. Chill",1
5,"&amp;&amp; when Tha bitches start hating &#128553;&#128553;&#128129; that's wen a bitch lost me &#128588;&#128168;&#128591;&#128175;&#9996;&#65039;&#128581;&#128064;",1
6,".@Buckm00se really does talk like a buck nigger",1
7,"1st game of Fall 7s.. finna kill some hoes",1
8,"@Alejandro_Bihhh @CapoDaAssHole I'm on this hoe like this every night just be tweeting bullshit",1
9,"' This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay song .",1
10,"@05235fd083ad408 hick yes",0
11,"' Indiana niggah you can tell from ma muhhfuckin grammar , I swear I got 3 hoes with me just like I'm Santa &#1041204;&#1043359; .",1
12,"934 8616
i got a missed call from yo bitch",1
13,"' Ima kill that pussy straight murder that shit , and Ima eat it , eat it , eat it &#1043291;&#1040788; And lick it till it slaps . Aye &#1041237;&#1041191; .",1
14,":) ""@PeterDavidsonII: At some point, we need to discuss how delicious the vegan brownie from @busboysandpoets on u St. tastes!""",0
15,"2k coaches are retarded who would put a 5'10 point guard at the 3 tho.",1
16,"@05proFESSOR Charlie Sheen could coach better than Crusty Dusty. Yeah they hired Bryan Price, the pitching coach",0
17,"' Id rather sit at the house all day and jack off then bust a mission to literally only chill with a bitch &#1041204;&#1043473;... http://t.co/MEtM60bG15",1
18,"' You tall tree ass females be 6'0 TALKIN bout "" Catching Feelings "" , bitch you need to catch this touchdown... http://t.co/lMgkDuxzY7",1
19,"' Someone let me know why Drake so cold ? &#1041185;&#1041240;&#1043358;&#1043351;&#1043323; He my favorite rapper , this niggah HARD .",1
20,"' This Niggah Kevin Hart couldn't sit down lmaoooooooooooo My niggah My Niggah &#1041204;&#1041204;&#1041204;&#1041204;&#1043358;&#1043351;&#1043323;",1
21,"' You messin with broke niggahs you gon be broke niggah &#1043323;&#1043323;&#1043323;&#1043323;&#10071;&#65039;",1
22,"@AdamSchein @TheMayorMatt I may have just cried a tad #illmissu shiner",0
23,"40 mins. Until that bitch drop",1
